id,title,date,for,against,For_Main_Points,against_Main_Points
d20170424,Unresolved: Trump's First 100 Days,2017-04-24,"['Jamelle Bouie', 'Ian Bremmer', 'Kris Kobach']","['Rich Lowry', 'Jennifer Rubin']",,
d20170322,The Universal Basic Income Is The Safety Net Of The Future,2017-03-22,"['Charles Murray', 'Andrew Stern']","['Jared Bernstein', 'Jason Furman ']","['As industries become more automated, the need for human workers will decrease. In the face of such disruption, a guaranteed basic income would be an effective way to ensure economic stability for everyone.', 'In the face of growing inequality, a universal basic income would substantially reduce poverty and address a spectrum of social issues including food security and access to health care and housing.', 'Without the pressure to earn a basic income, people would be able to pursue their career interests, leading to greater societal innovation and professional satisfaction.']","['A guaranteed income would disincentivize work and stifle productivity. Automation in the workplace should be met with innovation in worker training and education rather than financial handouts.', 'Rather than giving money to those who are not in need, the government should direct federal funds to successful existing programs, such as Social Security, Medicare and Medicaid.', 'We can’t afford it: according to CBPP, if everyone received a UBI of just $10,000 a year, it would cost the federal government more than $3 trillion dollars.']"
d20170301,Charter Schools Are Overrated,2017-03-01,"['Gary Miron', 'Julian Vasquez Heilig']","['Jeanne Allen', 'Gerard Robinson']",,
d20170208,The Special U.S.-Saudi Relationship Has Outlived Its Usefulness,2017-02-08,"['Madawi Al-Rasheed', 'Mark P. Lagon']","['F. Gregory Gause', 'James Jeffrey']","['Our diverging priorities in the Middle East and the Saudi’s continued support and funding of religious extremism highlight the differences in our national security interests.', 'Advances in natural gas and oil production technologies have freed us from our reliance on Saudi oil.', 'The U.S. cannot continue to ignore Saudi Arabia’s abysmal human rights record on their treatment of women, religious minorities, and dissidents.']","['This relationship has been mutually beneficial for over 70 years, and we cannot afford to alienate one of the few states holding an unstable region together.', 'Saudi Arabia has been an important ally in the fight against terrorism, especially through shared intelligence.', 'Saudi Arabia is the largest producer of crude oil in the world, and it is to the global economy’s benefit to secure its accessibility.']"
d20170201,Give Trump A Chance,2017-02-01,"['Clive Crook', 'Gayle Trotter']","['David Frum', 'Michael Waldman ']","['Donald Trump’s democratic election reflects the will of the people. American democracy requires the peaceful transfer of power and the opportunity for elected officials to exercise the powers afforded to them by the Constitution and national law.', 'Obstructionism will not only prevent lawmakers from taking the actions necessary to operate the federal government, it will deepen America’s political divides.', 'Donald Trump’s campaign was fueled by a growing sense that Washington had failed the voters. Preventing President Trump from acting would further disillusion many Americans against their government.']","['Donald Trump’s campaign trafficked in bigotry and racism. Allowing him to implement his campaign promises would put American ideals, like religious freedom and civil rights, at risk.', 'Since elected, Donald Trump has proven unqualified to serve in the office through his failures to disclose potential conflicts of interests, routine dismissal of American intelligence agencies and diplomatic traditions, and insistence on nominating highly controversial figures to key leadership positions.', 'Donald Trump lost the popular vote by more than 2.8 million. His Electoral College victory does not reflect the will of the American people and he has not earned a mandate to lead.']"
d20170111,Policing Is Racially Biased,2017-01-11,"['Gloria Browne-Marshall', 'Marq Claxton ']","['Heather Mac Donald', 'Harry Stern']",,
d20161207,Call a Convention to Amend the Constitution,2016-12-07,"['Lawrence Lessig', 'Mark Meckler']","['David Super', 'Walter Olson']","['The framers of the Constitution put a system in place to address an ineffective or failed Congress. By circumventing Congress, an Article V convention would empower states to address issues national legislators will not.', 'In an era of unprecedented expansion of federal government through executive orders and wide-reaching Supreme Court decisions, an Article V convention would allow states to propose and ratify amendments that limit federal overreach.', 'The threat of a “runaway” convention is unsubstantiated. Because 38 states would be required to ratify any proposed amendment, any changes to the Constitution would reflect the will of the majority of Americans.']","['Article V gives us very little guidance on how a convention would actually work. With such an ill-defined process, whatever the end-result, the legitimacy of the Constitution will be called into question.', 'A convention to amend the Constitution would give special interest groups unprecedented opportunity to lobby delegates for their causes, allowing wealthy donors and corporations direct access to the amendment process.', 'Opponents say the only precedent we have to work with is the convention of 1787--which scrapped the Articles of Confederation. With no way to enforce limits on the proceedings, sweeping changes could be made. Are we ready to imperil fundamentals of the Constitution, particularly in our current and deeply partisan political climate?']"
d20161129,Obama’s Foreign Policy Is a Failure,2016-11-29,"['Eliot Cohen', 'Kristen Silverberg']","['Derek Chollet', 'Vikram Singh']","[""America's standing in the world and American security have both deteriorated under Obama's policy of retreat."", 'The president has strained our relationships with allies like Israel and Saudi Arabia, while embracing enemies like Iran.', 'He has repeatedly signaled to our adversaries that red lines and bad behavior will be ignored, when effective diplomacy requires the real threat of action to back it up.', 'The Middle East is now worse off than when Obama first entered office.']","['Obama has used restraint when faced with hard choices, moving away from the ""playbook"" of default militarized response.', ""Proponents of more muscular intervention in the Middle East ignore the risk of getting mired in further conflict, and overestimate our ability to influence the region's trajectory."", 'The killing of Osama bin Laden,the Iran deal, the Paris climate agreement, restored relations with Cuba are all evidence of success.', 'After inheriting two wars and a financial crisis, Obama will leave office having made America safer.']"
d20161114,Gerrymandering Is Destroying the Political Center,2016-11-14,"['Caroline Fredrickson', 'David Daley']","['Nolan McCarty', 'Chris Jankowski']","['By isolating like-minded voters in the same congressional districts, gerrymandering creates a class of highly partisan elected officials that reject compromise and promote ideological extremes to appease their constituents.', 'With established “safe” congressional districts, state and national party resources can be pooled for more competitive districts, creating campaign battle grounds that foster partisan divide in what would otherwise be small, local races.', ""The practice of “cracking” spreads opposing party voters throughout districts, putting them in the minority. This suppresses ideological diversity and ensures that these voters' voices are drowned out.""]","['The polarizing impact of gerrymandering is nominal, and other issues are the real drivers of extreme views in politics.', 'Many districts that strongly favor one party over another are the result of sorting, where individuals choose to live among the like-minded.', 'The success of longtime politicians has less to do with gerrymandering and more to do with the inherent benefits of running as an incumbent.', 'The partisan goal of gerrymandering isn’t to create a few completely safe districts, but as many competitive districts as possible for the majority party. This creates more ideologically diverse districts, not ideologically isolated districts.']"
d20161026,Give Undocumented Immigrants a Path to Citizenship,2016-10-26,"['Angela Kelley', 'Marielena Hincapié']","['Steven Camarota', 'Rich Lowry']","[""It’s not economically or logistically practical to deport 11 million people, and enforcement alone won't work."", 'Immigrants would earn their citizenship by going through a rigorous process that includes background checks, paying a penalty and taxes, and learning English.', 'Bringing immigrants legally into the workforce will stimulate the economy, increasing consumption of goods and services, and increasing tax revenue.', 'The border has never been more secure, the number of crossings has decreased, and we already spend over 17 billion dollars a year on enforcement.', 'Keeping families of mixed immigration status together is the moral thing to do.']","['We need to focus on securing our borders and enforcing the immigration laws that we already have.', 'There is no way to adequately vet 11 million people for citizenship.', 'By granting immigrants who are here illegally a path to citizenship, we are essentially rewarding bad behavior and encouraging more of the same.', 'Wages have stagnated or declined for less-educated U.S. workers, many of whom are forced to compete with immigrants for jobs.', 'Immigrants pay less in taxes than they receive in government benefits and services.']"
d20161013,Blame Big Pharma for Out-of-Control Health Care Costs,2016-10-13,"['Dr. Ezekiel J. Emanuel', 'Neera Tanden']","['Lori Reilly', 'Paul Howard']","['Medical patent laws created to spur innovation distort the drug market to allow large pharmaceuticalcompanies a monopoly on life-saving treatments and the ability to exploit those in need for monetary gain.', 'Due to a lack of transparency around drug production costs and insurance subsidies for buyers, pharmaceutical companies are not beholden to traditional market forces like consumer-imposed price limits.', 'Pharmaceutical companies can charge exorbitant prices for common drugs, even when the actual cost of drug production and distribution are low.', 'Because most developed nations regulate medical costs and allow state negotiation with drug companies, patients in the United States pay substantially more for pharmaceuticals than do their counterparts around the world.']","['Developing life-saving medication requires substantial time and resources; those costs are justifiably passed along to consumers when a drug is viable, and the sale of common drugs subsidizes the development of cures for rare diseases.', 'Given the financial interests of for-profit insurance companies, hospitals, and medical practices, pharmaceutical companies cannot be blamed for the economic burdens of an out-of-control health care system.', 'Pharmaceutical innovation eliminates the need for other costly medical interventions, such as organ transplants made obsolete by drug alternatives, and makes health care less expensive as a whole.', 'Because the American government allows a competitive free market for drugs and does not stifle innovation, the world benefits from American research and development of drugs.']"
d20160926,The First Presidential Debate,2016-09-26,['Hillary Clinton'],['Donald Trump'],,
d20160913,Blame the Elites for the Trump Phenomenon,2016-09-13,"['Timothy Carney', 'Ben Domenech']","['Jennifer Rubin', 'Bret Stephens']","['Elites have pursued an agenda that has benefited corporations and the affluent, but largely ignored the plight of the working class.', 'With growing competition for jobs and manufacturing moving overseas, the pro-immigration and pro-trade elite are out of sync with America’s workers.', 'The establishment failed to recognize populism’s growing strength and essentially did too little, too late, to stem Trump’s popularity.']","['The far right has been sowing the seeds of unrest and anger, paving the way for an outsider candidate who has appealed to voters’ frustration.', 'Globalization benefits the U.S. Retreating from the world through protectionist policies would hurt the average American more than it would help.', 'There is an abundance of easily accessible information out there, and we can blame the people who voted for Trump for accepting his campaign of misinformation.']"
d20160907,Climate Change: The EPA Has Gone Overboard,2016-09-07,"['Charles McConnell', 'Michael Nasi']","['Carl Pope', 'Jody Freeman']","['Pollution is global. As EPA regulations stifle American industry, businesses operating in nations without such restrictions gain a competitive edge and offset any potential environmental benefit created by American emission controls.', 'The economic burden of complying with EPA demands is passed from American companies to consumers and disproportionally affects the poor who cannot afford higher energy costs.', 'EPA emission regulations force the closure of existing power plants and pressure businesses to adopt new, untested, and often unreliable technology, which compromises U.S. energy security.', 'While the U.S. may seek to be a leader in climate change regulations, bringing proposals to the international table that are highly unpopular and contested at home undermines American credibility abroad.', 'Under the Clean Power Plan, states must file plans to reduce carbon emissions or accept a federal plan, which violates state sovereignty protected by the 10th Amendment.']","['The effects of climate change cannot be mitigated by one nation alone. The U.S. must take a leadership role to combat this threat, which will require setting a global standard at home.', 'To avoid overreach, the Clean Power Plan sets state emission reduction standards based on the economic impact of regulation in each state, and offers each state autonomy in how it will address compliance.', 'In 2009, the EPA formally found that greenhouse gases endanger public health and welfare; it has a clear mandate to enforce regulations that will counter this threat, regardless of opposing political or industry interests.', 'EPA performance standards target the sources of pollution, which is a regulation of industry not states, and is both constitutionally sound and aligned with standard federal governance.', 'EPA regulations and incentives encourage innovation and diversification within the American energy industry and make American companies more competitive in the 21st century global economy.']"
d20160608,The President Has Usurped the Constitutional Power of Congress,2016-06-08,"['Michael McConnell', 'Carrie Severino']","['Adam Cox', 'Eric Posner']","['The Framers separated the powers of government into three branches and established a system of checks and balances to guard against abuse of those powers. There has been a pattern of overreach by the executive branch. As James Madison wrote in Federalist No. 51, ""[i]n republican government, the legislative authority necessarily predominates.""', 'With executive orders, administrative regulations, creative interpretations of federal statutes, and executive agreements with other nations, it may seem that the president, not Congress, wields the most potent legislative power.', 'Article II, Section 3 of the Constitution states that the president “shall take Care that the Laws be faithfully executed,” a duty Obama flouted by taking unilateral action to suspend the employer mandate of Obamacare, and through his executive orders on immigration, DACA and DAPA.', 'The Constitution clearly states Congress alone has the power to declare war. Obama exceeded his authority by waging war in Libya without congressional consent.', 'The president’s use of recess appointments is, as Justice Scalia wrote, “[a] self-aggrandizing practice adopted by one branch well after the founding, often challenged, and never before blessed by [the Supreme Court].”']","['Strong executive power has been necessary for an effective and functioning government. The Framers feared the abuse of power, but they also feared a weak executive unable to enforce the laws of our nation. In Federalist No. 70, Alexander Hamilton argued for a strong, “energetic” president, writing that “[a] feeble Executive implies a feeble execution of the government.”', 'Over time, Congress has given the president enormous discretion to determine our nation’s policy.', 'With DACA and DAPA, the Obama administration has exercised prosecutorial discretion to make the best use of limited resources to prioritize the removal of undocumented immigrants who pose a threat to security, and defer the removal of others.', 'The president has authority to use military force without a declaration of war. The Libya intervention fell short of war—it did not involve sustained fighting or ground troops—and fell within the limits of the War Powers Resolution.', 'On presidential recess appointments, Justice Breyer wrote, that we should be reluctant to “upset this traditional practice where doing so would seriously shrink the authority that presidents have believed existed and have exercised for so long.”']"
d20160504,Hunters Conserve Wildlife,2016-05-04,"['Anthony Licata', 'Catherine Semcer']","['Wayne Pacelle', 'Adam M. Roberts']","['Revenues from hunting fund conservation efforts, both within the U.S. and abroad, going toward wildlife refuge programs and preserving national, state, and private lands.', 'Regulated hunting helps maintain healthy animal populations, preventing overcrowding, resource depletion, and the spread of disease.', 'The sport of hunting promotes active engagement with nature and ensures humans are invested in preserving wildlife and lands.', 'Regulatory agencies and industries created around hunting are critical to combating poaching and illegal depletion of animal populations.']","['Hunting alters the natural composition of animal herds and, even when population sizes are maintained, negatively impacts their long-term survival.', 'The global market around trophy hunting is often corrupt and funds raised from hunters are often misappropriated.', 'Domestic and international regulatory agencies that oversee hunters are often pressured to set quotas based on industry demands rather than animal well-being.', 'Endangered animals are already at risk of extinction by poachers and natural predators; legalized hunting exacerbates the problem.']"
d20160406,Eliminate Corporate Subsidies,2016-04-06,"['Jack Abramoff', 'Zephyr Teachout']","['Kate Gordon', 'Michael Lind']","['By subsidizing corporations and industries, the U.S. government is distorting markets and the economy.', ""We've created a corrupt system where industry groups and large corporations lobby the government, and the government in turn rewards them with subsidies."", ""According to Good Jobs First, the federal government has given away some $68 billion in subsidies over the last 15 years, two-thirds of which has gone to corporations that don't need it—giving big businesses an unfair advantage.""]","['Government subsidies have backed important R&D programs that have played a critical role in launching new technology, like the Internet and fracking.', 'Government support is crucial to helping nascent industries break into entrenched industries like the energy sector.', 'Subsidies are critical to helping U.S. companies compete in a global marketplace where countries like Germany and China are heavily subsidizing industries.']"
d20160309,Artificial Intelligence: The Risks Could Outweigh the Rewards,2016-03-09,"['Jaron Lanier', 'Andrew Keen']","['James Hughes', 'Martine Rothblatt']","['AI threatens to fundamentally alter the human way of life and should not be developed without adequate planning and foresight.', 'To say that algorithms can mimic consciousness is to devalue what it means to be human.', 'Cheap AI labor may replace human labor and deepen the economic inequality between business owners and human laborers.', 'A self-aware and self-evolving machine could challenge humans for critical resources.']","['Fear of the unknown should not prevent the next wave of the technological and human progress.', 'AI is a potentially life-saving tool that can help cure disease and eradicate human-to-human warfare.', 'If precautions and regulations are put in place, ""human friendly"" AI can be developed to serve humans rather than threaten them.', ""AI technology can preserve the minds of our loved ones as well as society's greatest intellectuals and leaders.""]"
d20160301,Free Speech Is Threatened on Campus,2016-03-01,"['Wendy Kaminer', 'John H. McWhorter']","['Shaun Harper', 'Jason Stanley']","['Protesters are shouting down those they disagree with and demanding protection from views they find offensive.', 'Certain topics have been labeled off the table for discussion, leaving no room on campuses for diverse or unpopular ideas.', 'While some of the issues being protested are legitimate concerns, students have gone too far with their demands.']","['Rather than closing down speech, the protests have spurred productive discussions about race and diversity on campuses.', 'The protests are not hypersensitive reactions to discrete events, but a response to long-simmering tensions and hostile environments.', 'By mobilizing for ideas they believe in, these students are not catastrophizing—they are exercising their right to free speech.']"
d20160203,Lifespans Are Long Enough,2016-02-03,"['Ian Ground', 'Paul Root Wolpe']","['Aubrey de Grey', 'Brian Kennedy']","['Radical life extension would lead to overpopulation and depletion of resources.', 'Scientific resources are better spent curing known diseases and improving existing quality of life.', 'Radical life extension is at odds with the natural and cultural process of life and death.']","['Radical life extension is simply the next step in scientific and medical progress.', 'Anti-aging technology prevents the suffering of old age and age-related disease.', ""Longer lifespans increase an individual's ability to contribute wealth to society.""]"
d20160113,"The U.S. Should Let In 100,000 Syrian Refugees",2016-01-13,"['Robert Ford', 'David Miliband']","['David Frum', 'Jessica Vaughan']","['Refugees are subjected to the highest level of security checks of any category of traveler to the United States.', 'The U.S. has led the world in refugee resettlement since World War II, and it can and should do more to respond to this growing humanitarian crisis.', 'The U.S. is admitting the most vulnerable refugees into the country, focusing on women, children, and survivors of violence.']","['The U.S. cannot adequately screen refugees when there are no records to check against, and fraudulent documents are in wide circulation.', 'We can help more Syrian refugees, and help them more effectively, by providing aid to them in neighboring Middle Eastern countries.', 'We only need to look to Europe to see how welcoming massive numbers of refugees and migrants has created internal insecurity.']"
d20151203,The Equal Protection Clause Forbids Racial Preferences in State University Admissions,2015-12-03,"['Roger Clegg', 'Stuart Taylor Jr.']","['Deborah Archer', 'Erwin Chemerinsky']","['Affirmative action in admissions violates the Equal Protection Clause by discriminating against some students based on their race.', 'Racial and economic diversity on campus can be accomplished through means other than affirmative action.', 'Affirmative action hurts its intended beneficiaries by creating an academic mismatch between some students and universities.']","['Affirmative action safeguards equal protection in university admissions by countering disparities of access and a legacy of past discrimination.', 'To say that laws designed to subjugate a race and laws designed to distribute benefits to a race are equivalent assumes that our society is post-racial, which it is clearly not.', ""Everyone's educational experience is enhanced when there is diversity in classrooms.""]"
d20151118,Central Banks Can Print Prosperity,2015-11-18,"['Roger Bootle', 'Simon Johnson']","['Edward Conard', 'Andrew Huszar']","['Economies with central banks that conducted aggressive quantitative easing immediately following the financial crisis are experiencing stronger growth than those slow to adopt it.', 'By buying assets from financial institutions, central banks encourage these institutions to lend more to businesses and individuals, which can in turn leads to more spending and investment.', 'As individuals and businesses borrow and spend more, more jobs are created and the economy grows.']","['There has been very little evidence that quantitative easing has done what it promised to do, and what small gains we have seen have been on Wall St., not Main Street.', 'By distorting the prices of stocks and assets, quantitative easing creates bubbles that can lead to recession.', 'If money circulates too rapidly, it is difficult to keep inflation at bay.', 'Quantitative easing pumps money into financial markets, allowing governments to ignore the real solution—structural reform of unsound economies.']"
d20151110,U.S. Prosecutors Have Too Much Power,2015-11-10,"['Paul Butler', 'Nancy Gertner']","['David Hoffman', 'Reid Schar']","['Prosecutors control which cases to pursue, who will get charged, and what the sentence will be. These immense powers give prosecutors leverage to undermine the right to trial by jury, pressuring defendants into pleading guilty. Over 90% of both federal and state court cases are resolved through plea bargaining, not through jury trials.', 'The exercise of these very same powers, in the absence of transparency, also causes unequal justice.', 'Prosecutors may impair the fact-finding process by withholding evidence and through their control of witnesses.']","['Prosecutors must have all the tools available to them to prosecute crimes of great complexity, to hold the powerful accountable, and to keep communities and our nation safe.', 'There are already checks in place to balance prosecutorial power—judges, defense lawyers, and the law enforcement agencies prosecutors must work with.', 'Pleas are voluntary, and often achieve the cooperation that leads to stopping the chief wrongdoers.']"
d20151102,College Students Should Be Allowed to Take Smart Drugs,2015-11-02,"['Dr. Anjan Chatterjee', 'Nita Farahany']","['Eric Racine', 'Nicole Vincent']","['Smart drugs are simply the continuation of long-established stimulant use (such as caffeine) to enhance performance.', 'Smart drugs can expand human capabilities and deepen our understanding of brain functioning.', ""If smart drugs were too dangerous for general use, they wouldn't be widely prescribed for ADHD and other disorders."", 'Individuals should be able to make their own decisions on whether or not to use smart drugs.']","['Using smart drugs could give students an unfair advantage in a competitive academic environment.', ""There are health risks linked to the use of smart drugs, and we still don't know their long-term effects."", 'Widespread use of smart drugs may lead to an overly competitive academic and professional environment.', 'If smart drug use was widely accepted, only those with the financial resources to buy the drugs would yield the advantage.']"
d20151027,Raise the Federal Gas Tax to Fund Infrastructure,2015-10-27,"['Shailen Bhatt', 'Alison Premo Black']","['Adrian Moore', 'Stephen Moore']","['The gas tax is a user fee. The people that pay are the ones that benefit from it.', 'The federal gas tax has not been raised in over 2 decades. If it had been indexed to inflation, 18.4 cents per gallon then would be 29 cents per gallon today.', 'Increasing the gas tax is the easiest and most logical way to increase revenue for the Highway Trust Fund, and it will continue to be a reliable revenue source well into the future.', ""Congress' inability to come up with a long-term solution to provide sufficient funding for the Highway Trust Fund has created uncertainty—delaying and preventing infrastructure projects across the country.""]","['Until government learns to prioritize and cut waste, we should not be pouring more money into the Highway Trust Fund.', 'Instead of collecting and then redistributing funds back to the states, we should let the states take on more of the infrastructure-funding responsibility.', 'As people drive less and as cars become more fuel efficient, it becomes obvious that the gas tax is not a sustainable funding solution.', 'If we stopped using the Highway Trust Fund to pay for non-highway projects, like mass transit and bike paths, we would have enough money to build and maintain our roads and bridges.']"
d20151014,China and the U.S. Are Long-term Enemies,2015-10-14,"['Peter Brookes', 'John J. Mearsheimer']","['Robert Daly', 'Kevin Rudd']","['Conflict is inevitable as China challenges America as the dominant power in Asia, a role America is unlikely to cede any time soon.', 'Land reclamation in the South China Sea, cyber-attacks, and a growing military budget point to a more aggressive, less reactive China.', 'Despite its economic and military strength, China has not become a responsible global stakeholder, instead choosing to free-ride on the existing international order while pursuing its own interests.']","['It is in the vital interests of both countries to work together and collaborate on shared interests like nuclear containment, climate change, and trade.', ""We should not automatically interpret China's behavior as aggression; their foreign policy has long been guided by the principles of sovereignty and non-intervention."", 'By treating China with hostility and working to isolate and diminish it, this predicted adversarial relationship will become a self-fulfilling prophecy.']"
d20150916,"Courts, Not Campuses, Should Decide Sexual Assault Cases",2015-09-16,"['Jed Rubenfeld', 'Jeannie Suk']","['Michelle Anderson', 'Stephen Schulhofer']","['Universities are not equipped to try or punish crimes, especially those as serious as rape. Though courts may be flawed, creating inferior shadow trials is not the solution.', 'Campus proceedings are often biased and unfair: a lower standard of evidence means more errors; the accused are denied due process, assumed guilty from the start; and schools have a conflict of interest.', 'Universities have adopted an increasingly broad definition of sexual assault that is difficult to prove or punish, and trivializes the severity of rape.']","[""Sexual assault—a form of sex discrimination—creates a hostile environment and violates every student's right to an equal education. Under Title IX, schools have an obligation to deal with these cases."", 'The criminal justice system is deeply flawed and often inadequate in its prosecution of sexual assault. University proceedings, though not a replacement, offer more immediate remedies.', 'Campus cases go beyond what courts can provide: they focus on the victim instead of the state, on equality instead of defense, and on civil rights instead of criminal justice.']"
d20150809,Containment Is Not Enough: ISIS Must Be Defeated,2015-08-09,"['Michèle Flournoy', 'Philip Zelikow']","['Anne-Marie Slaughter', 'Dov Zakheim']","['We cannot keep ISIS at a distance and allow it to establish a sanctuary, as we did with al Qaeda in the 1990s.', 'The U.S. must intervene on a larger scale, which includes the deployment of more ground forces.', ""We are at war with ISIS and the administration's incrementalism will only give it space to grow stronger.""]","['Defeating ISIS would require the commitment of hundreds of thousands of troops, which the U.S. is not prepared to do.', 'After over a decade fighting in the Middle East, the U.S. still has a poor grasp of the region—even if we were committed to defeat ISIS militarily, what then?', 'By containing ISIS, we will allow its ideology and brutality to consume it from within.']"
d20150602,The Equal Protection Clause Does Not Require States To License Same-Sex Marriages,2015-06-02,"['John Eastman', 'Sherif Girgis']","['Evan Wolfson', 'Kenji Yoshino']","['Nowhere in its history, text, or understanding does the Equal Protection Clause require states to redefine marriage to include same-sex couples.', ""Marriage laws are a state's sovereign right, and the traditional definition between one man and one woman, is constitutionally sound."", 'Traditional procreation and child-rearing strengthen society and thus serve as a compelling state interest for marriage restrictions.', 'A right to same-sex marriage would create an entirely new, special constitutional right.']","['Same-sex marriage bans discriminate based on sex and sexual orientation, and thus violate the Equal Protection Clause.', ""States have no rational basis or government interest in refusing to recognize same-sex marriage. Such bans fail to meet the judicial scrutiny necessary to trump individuals' 14th Amendment protections."", 'Depriving same-sex couples of the legal and societal benefits of marriage—which cannot be recreated through alternative legal substitutes—unfairly burdens them and their children.']"
d20150526,Obama's Iran Deal Is Good For America,2015-05-26,"['Philip Gordon', 'Thomas Pickering']","['Michael Doran', 'Mark Dubowitz']","['This deal is the best of our alternatives, more sanctions that fail to deter the pursuit of nuclear weapons, or war.', ""Obama's deal would block all or Iran's paths to a nuclear weapon by limiting its ability to produce weapons-grade plutonium and uranium, constraining R&D, and increasing access for inspections."", ""Iran's breakout ability would go from 2-3 months, to a 1 year for 10 years.""]","['This deal leaves Iran with its nuclear infrastructure in place.', ""Despite claims that inspections and increased access will prevent cheating, Iran's past clandestine activities suggest otherwise."", ""By lifting sanctions we are strengthening Iran's regional influence, and making their reinstatement virtually impossible.""]"
d20150513,Smart Technology Is Making Us Dumb,2015-05-13,"['Nicholas Carr', 'Andrew Keen']","['Genevieve Bell', 'David Weinberger']","['From autopilot to apps, our lives have become increasingly automated. By depending on devices instead of actively engaging in work or leisure, our cognitive skills fade away.', 'The internet—as the central medium by which we read, write, and learn—has fundamentally changed the wiring of our brains, diminishing our ability to think deeply and critically.', ""Humans are not effective multitaskers, and digital media's constant distractions weaken our focus and scatter our attention."", 'Instead of broadening our intellectual and sociocultural horizons, social media narrows our worlds to echo chambers.', 'Tech giants know more about us than we know about ourselves. As they relate to us as mere consumers, as data, we lose our autonomy.']","['The digital revolution has reinvented knowledge, replacing traditional constraints with open, limitless networks. With the internet, humans can work together to infinitely scale knowledge.', 'With our 24/7, hyperconnected networks, knowledge has been democratized, giving increasing agency to everyone, everywhere.', 'The efficient, seamless presence of digital technologies has freed us from menial tasks, thereby opening space in our heads for higher pursuits.', 'Technology is what we make it, not vice versa. Far from mindless, passive consumers, people across the world are actively engaging with technology to better their lives and societies.']"
d20150415,Abolish the Death Penalty,2015-04-15,"['Diann Rust-Tierney', 'Barry Scheck']","['Robert Blecker', 'Kent Scheidegger']","['The death penalty violates basic human rights and is a morally reprehensible mechanism of punishment for a civilized society to maintain.', 'The death penalty does not deter crime.', 'The death penalty is many times more costly than sentencing someone to life without parole.', 'Because of flaws in law enforcement and the criminal justice system, there is the possibility that innocent people will be subjected to this irreversible sentence.', 'The death penalty is applied in a disproportionate manner and is more likely to be used against the poor and minorities.']","['Some crimes are so heinous that life in prison is an insufficient punishment.', 'The death penalty does deter crime and it guarantees that repeat offenders will not engage in criminal activity again.', 'We accept the possibility of mistakes in every other aspect of life—the death penalty should not be an exception.', 'DNA testing and other advances in forensic science can now eliminate almost all uncertainty regarding guilt or innocence.', 'The death penalty provides prosecutors with an important tool when attempting to strike a deal, without taking life without parole off the table.']"
d20150331,The President Has Exceeded His Constitutional Authority by Waging War Without Congressional Authorization,2015-03-31,"['Gene Healy', 'Deborah Pearlstein']","['Akhil Reed Amar', 'Philip Bobbitt']","['Article I of the Constitution gives Congress the sole power to _declare war._ The president_s unilateral military action threatens perpetual war and violates the democratic separation of powers, transparency, and civic participation.', 'The President does not have authority under the 2001 AUMF to engage in hostilities against ISIS, which is neither al Qaeda nor an _associated force._', 'Currently, ISIS does not pose an imminent threat to the U.S. and therefore neither falls under the president_s Article II power to defend the U.S. as commander-in-chief nor the War Powers Resolution.']","['Invested with the powers of commander-in-chief, the president has constitutional authority to engage in hostilities to protect national security.', 'The 2001 AUMF (and by some accounts the 2002 Iraq AUMF) authorizes the president to use U.S. military force against terrorist threats.', 'The Constitution must be interpreted alongside historical precedent. Formal declarations of war are few and far between in U.S. history, while executive action and legislative acquiescence to hostilities have created robust common law.', 'The 21st century has brought a rapidly changing context of global actors, situations, and strategies, which have fundamentally changed the way we go to war.']"
d20150311,The U.S. Should Adopt the 'Right to Be Forgotten' Online,2015-03-11,"['Paul Nemitz', 'Eric Posner']","['Andrew McLaughlin', 'Jonathan Zittrain']","[""The right to be forgotten establishes everyone's right to privacy and human dignity."", 'People should be allowed to have control over their personal data.', 'The internet makes it almost impossible to forget—this right gives people a chance to move beyond the past.']","['The right to be forgotten restricts freedom of expression and information.', 'Deciding what we can and cannot see online is a form of censorship.', 'This right allows individuals to rewrite history.']"
d20150224,Liberals Are Stifling Intellectual Diversity On Campus,2015-02-24,"['Greg Lukianoff', 'Kirsten Powers']","['Angus Johnston', 'Jeremy Mayer']","[""Liberals are shutting down speech that doesn't conform to their narrow orthodoxy."", 'The freedom to express unpopular points of view encourages critical thinking, exploration, and debate.', 'Academia is overwhelmingly liberal, with skewed views trickling down from administration to faculty to students.']","[""What we've heard about in the news are isolated, high-profile incidents that are not representative of what's happening on the majority of campuses."", 'Students are exercising their right to free speech by protesting.', 'The majority of surveyed faculty and students do not perceive a liberal bias in their classrooms.']"
d20150211,Declinists Be Damned: Bet on America,2015-02-11,"['Josef Joffe', 'Peter Zeihan']","['Chrystia Freeland', 'James Rickards']","[""America's military strength remains unrivaled."", 'The U.S. has recovered from the recession faster than any country besides Germany.', 'America is blessed with geographical advantages—it is insulated by two oceans, held together by a vast network of waterways, and boasts vast stretches of arable land.', 'America is, and will remain, a leader in scientific and technological innovation.']","[""Inequality is on the rise and America's middle class is struggling."", 'Partisan politics has paralyzed government and left Washington incapable of addressing critical issues.', ""America's credibility and moral authority has been badly damaged in our fight against terror—from our detention and interrogation programs to NSA spying and the invasion of Iraq."", ""Despite America's military dominance, the rise of insurgents and terrorism render its conventional forces less effective.""]"
